Desverchère Jocelyne,Fin d'été (1999)
Modot Gaston,Fauves et bandits (1914)
Bayliss Susan (II),The View from Greenhaven (2008)
Franco José (I),El espontáneo (1964)
Finney Kurt,Stay with Me (2005)
McConnell Alexander,The Co-Star (2012)
Kaftan Jiri,Dáma na kolejích (1968)
Martini Jr. Lou,Billy's Cult (2013)
Weitz Bruce,The Private Files of J. Edgar Hoover (1977)
Kernodle Raymond,Going in Style (1979)
Mohan Ram (I),Phulwari (1984)
Mineo Sal,The Silver Screen: Color Me Lavender (1997)
Laffon Yolande,Le sang à la tête (1956)
Cerulli Fernando,Lorenzo va in letargo (1992)
P.S. Simon,Perawan rimba (1988)
Prestat Henry,Je suis avec toi (1943)
Hare Kelly,Radio Free Albemuth (2010)
Ansara Michael,The Confession (1964)
Morenz Grant,Scary Normal (2013)
Akcan Gulter,Mazi yarasi (2009)
Jones Ian (XV),Dolphins (2007)
Mitchell Laurie,That Touch of Mink (1962)
de Anda Rodolfo,Rancho solo (1967)
Serena Gustavo,I soliti ignoti (1958)
Bury Sheila,Yam (2004)
Berto Michel,Erica Minor (1974)
Grünberger Manne,Flickorna från Gamla sta'n (1934)
Spurney Craig,Wash Dry and Spin Out (2003)
Tadic Ljuba,San (1966)
Sobolov David,Enemy Territory: Quake Wars (2007)
Veglia Dean,Movie Screening Security Guards (2008)
Zeiger Nathalie,Le mariage à la mode (1973)
Rattenberry Harry L.,When Clubs Were Trumps (1916)
Nelson Mark (I),The Seventh Coin (1993)
Pappa Aglaia,Recitativo (1995)
Flaherty Pat (I),Who Is Hope Schuyler? (1942)
Rozhin Klaudyna,Jak zyc (1981)
Molina Ángela,Los restos del naufragio (1978)
Sturm Melissa,Open Season 3 (2010)
Edenetti Nick,Crack Me Up (1991)
Mayall Herschel,Arabian Love (1922)
Lentonen Saija,Metsänpoika (2008)
Pizzuto Michael C.,Four Assassins (2012)
Rajamma M.V.,Sati Shakthi (1963)
Khokhlova Olga (I),Zhara (2006)
Jung Allen,Murder by Television (1935)
McKee Lafe,The Phantom Rider (1936)
Olbrychski Daniel,Gebürtig (2002)
del Real Alfonso,¡Es mi hombre! (1966)
Shaw Sandie,Eat the Rich (1987)
Argenti Alex,Nine (2009)
Ecker Michael,The Turandot Project (2000)
Mao Ping-rui,Feng chen san xia (1968)
Agah Sher,Septem8er Tapes (2004)
Cusack Niall,Maeve (1982)
Jovanovic Nikola (I),Mars na Drinu (1964)
Yat Boon Chai,Xiao sheng zuo fan (1983)
Canniff P.J.,Morning (2010/I)
Miller Stephen E. (I),Trixie (2000)
Daniel Cathy (II),Women in Boxes (2008)
Fernandes Nadir,O Leito da Mulher Amada (1975)
Gómez Leonor,La infame (1954)
Martin Vivienne,Two Way Stretch (1960)
Gahan Paula,Fractional (2011)
Wright Jack (II),Jayhawkers (2013)
Force Jeffrey,Infinity (1996)
Parthiban Seetha,Puthiya Pathai (1999)
Leonardi Heather,Alien Agenda (2010)
Takami Kiyo,Jukka (2009)
Tanjim,Mone Pore Tomake (2001)
Mullens Johnnie,Junior Bonner (1972)
Tomita Yasuko,June Bride (1998)
von Carlowitz Clay,Return to Nuke 'Em High (2013)
Kain Judy,Leading Ladies (2010/II)
Gunning Charles,Through the Walls (1993)
Li Chia Chien,Feng lei mo jing (1972)
